response,model_id,model_label,status,nobs,AIC,BIC,logLik,converged,pdHess,warning_message,delta_AIC,uses_depth,depth_mode,random_mode,fixed_mode
tokudai,Y_year_only_D2_Rav,year + depth_quad + offset + (1|area) + (1|vessel),completed,1016,7572.858483684567,7622.094769965951,-3776.4292418422833,TRUE,TRUE,,64.68908301279498,TRUE,quad,area_vessel,year_only
tokudai,Y_year_only_D0_Rav,year + offset + (1|area) + (1|vessel),completed,1016,7574.23623583491,7613.6252648600175,-3779.118117917455,TRUE,TRUE,,66.06683516313842,FALSE,none,area_vessel,year_only
tokudai,Y_year_only_Dc_Rav,year + depth_cat + offset + (1|area) + (1|vessel),completed,1016,7576.475480493837,7625.711766775221,-3778.2377402469183,TRUE,TRUE,,68.30607982206493,TRUE,cat,area_vessel,year_only
tokudai,YM_year_month_D0_Ra,year + month + offset + (1|area),completed,1016,7595.978187142889,7684.60350244938,-3779.9890935714443,TRUE,TRUE,,87.80878647111695,FALSE,none,area,year_month
tokudai,YM_year_month_D2_Ra,year + month + depth_quad + offset + (1|area),completed,1016,7598.379702233307,7696.852274796076,-3779.1898511166537,TRUE,TRUE,,90.21030156153574,TRUE,quad,area,year_month
tokudai,YM_year_month_Dc_Ra,year + month + depth_cat + offset + (1|area),completed,1016,7599.085939769502,7697.558512332271,-3779.542969884751,TRUE,TRUE,,90.91653909773049,TRUE,cat,area,year_month
tokudai,YM_year_month_D0_R0,year + month + offset,completed,1016,7636.081961034245,7719.783647712598,-3801.0409805171225,TRUE,TRUE,,127.91256036247341,FALSE,none,none,year_month
tokudai,YM_year_month_Dc_R0,year + month + depth_cat + offset,completed,1016,7638.2338965971985,7731.782840531829,-3800.1169482985993,TRUE,TRUE,,130.06449592542685,TRUE,cat,none,year_month
tokudai,YM_year_month_D2_R0,year + month + depth_quad + offset,completed,1016,7638.352141718844,7731.901085653474,-3800.176070859422,TRUE,TRUE,,130.18274104707234,TRUE,quad,none,year_month
tokudai,Y_year_only_D2_Ra,year + depth_quad + offset + (1|area),completed,1016,7639.641137149539,7683.953794802785,-3810.8205685747694,TRUE,TRUE,,131.47173647776708,TRUE,quad,area,year_only
